industry,percentage,funds_raised,stage,country,month,day,year,laid_off_count
25,0.03,35.0,13,59,5,9,2023,2
25,0.14,154.0,14,59,5,9,2023,1
19,0.06,91.0,13,25,5,9,2023,1
18,0.265282,32.0,0,59,5,9,2023,2
7,0.15,530.0,13,59,5,9,2023,2
22,0.04,154.0,14,59,5,8,2023,2
5,0.265282,121.0,0,22,5,8,2023,1
12,0.6,157.0,5,25,5,8,2023,0
7,0.265282,11.0,1,59,5,8,2023,0
3,1.0,27.0,0,1,5,8,2023,2
12,0.25,503.0,13,59,5,5,2023,2
23,0.15,1100.0,7,22,5,5,2023,2
5,0.265282,118.0,3,22,5,5,2023,0
7,0.33,45.0,3,59,5,5,2023,2
23,0.2,122.0,13,7,5,4,2023,2
28,0.15,1700.0,13,59,5,4,2023,2
17,1.0,157.0,0,59,5,4,2023,1
3,0.33,205.0,3,59,5,4,2023,0
7,0.1,100.0,0,25,5,4,2023,0
23,0.28,34.0,2,25,5,4,2023,0
4,0.14,70.0,4,58,5,4,2023,2
19,0.08,1300.0,13,59,5,3,2023,2
19,0.15,168.0,13,59,5,3,2023,1
27,0.265282,1300.0,8,23,5,3,2023,1
12,0.33,185.0,5,59,5,3,2023,0
19,0.265282,974.0,14,59,5,3,2023,0
18,0.13,28.0,4,59,5,3,2023,0
17,0.1,145.0,13,59,5,3,2023,2
12,0.2,212.0,4,59,5,3,2023,2
25,0.13,146.0,3,59,5,2,2023,0
27,0.08,105.0,3,1,5,2,2023,0
4,1.0,157.0,1,16,5,2,2023,2
21,0.265282,114.0,3,59,5,1,2023,0
12,0.265282,1600.0,0,22,5,1,2023,2
4,0.265282,157.0,0,22,4,29,2023,1
12,0.3,899.0,13,59,4,28,2023,0
7,0.04,1700.0,6,59,4,28,2023,0
12,0.265282,94.0,3,59,4,28,2023,0
2,1.0,15.0,2,59,4,28,2023,2
9,1.0,157.0,0,1,4,28,2023,2
19,0.16,1700.0,13,59,4,27,2023,2
4,0.11,613.0,13,59,4,27,2023,2
27,0.11,1300.0,13,59,4,27,2023,1
22,0.12,110.0,12,59,4,27,2023,1
4,0.265282,150.0,3,59,4,27,2023,1
10,0.265282,30.0,14,59,4,27,2023,1
13,0.16,98.0,13,1,4,27,2023,0
23,0.2,26.0,4,1,4,27,2023,0
19,0.14,140.0,3,59,4,27,2023,0
7,0.29,5.0,1,22,4,27,2023,0
2,0.5,110.0,4,59,4,27,2023,2
9,0.25,9.0,3,48,4,27,2023,2
5,0.265282,157.0,0,22,4,26,2023,2
7,0.33,79.0,3,59,4,26,2023,0
1,1.0,163.0,3,7,4,26,2023,2
5,0.265282,17.0,2,22,4,25,2023,2
7,0.5,272.0,5,59,4,25,2023,1
9,0.4,1000.0,3,17,4,24,2023,2
19,0.04,157.0,14,59,4,24,2023,2
13,0.13,337.0,6,59,4,24,2023,0
27,0.26,4900.0,13,59,4,21,2023,2
19,0.09,411.0,7,59,4,21,2023,0
5,0.265282,192.0,14,59,4,21,2023,2
18,0.15,696.0,13,59,4,20,2023,1
2,0.3,50.0,3,22,4,20,2023,1
7,0.265282,190.0,5,22,4,20,2023,0
10,0.12,192.0,5,59,4,20,2023,0
18,0.1,157.0,0,59,4,20,2023,2
11,0.265282,850.0,13,59,4,20,2023,2
25,0.09,157.0,13,59,4,19,2023,2
