industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
17,0.11,157,14,59,'\'(74.5-245.743]\'',5,24,2023
9,0.16,1000,3,17,'\'(74.5-245.743]\'',5,24,2023
11,0.07,900,13,25,'\'(-inf-74.5]\'',5,24,2023
4,0.07,157,15,9,'\'(245.743-inf)\'',5,24,2023
5,0.3,148,5,41,'\'(245.743-inf)\'',5,24,2023
9,0.265282,157,15,22,'\'(245.743-inf)\'',5,23,2023
11,0.265282,157,13,25,'\'(-inf-74.5]\'',5,23,2023
2,0.08,542,0,17,'\'(245.743-inf)\'',5,23,2023
7,0.265282,119,5,59,'\'(245.743-inf)\'',5,23,2023
21,0.265282,30,13,59,'\'(-inf-74.5]\'',5,22,2023
12,1,157,0,59,'\'(245.743-inf)\'',5,22,2023
16,0.265282,30,3,59,'\'(245.743-inf)\'',5,22,2023
12,0.265282,157,14,59,'\'(245.743-inf)\'',5,20,2023
7,0.265282,150,3,17,'\'(-inf-74.5]\'',5,19,2023
7,0.14,621,5,59,'\'(-inf-74.5]\'',5,18,2023
24,0.265282,17,2,59,'\'(245.743-inf)\'',5,18,2023
4,0.15,414,5,59,'\'(245.743-inf)\'',5,18,2023
19,1,15,1,25,'\'(245.743-inf)\'',5,18,2023
9,0.265282,150,4,59,'\'(245.743-inf)\'',5,18,2023
27,0.3,648,13,59,'\'(245.743-inf)\'',5,18,2023
7,0.1,480,0,59,'\'(-inf-74.5]\'',5,17,2023
19,0.4,425,12,59,'\'(245.743-inf)\'',5,17,2023
12,0.11,157,14,59,'\'(245.743-inf)\'',5,16,2023
7,0.26,700,6,58,'\'(245.743-inf)\'',5,16,2023
7,0.03,481,13,59,'\'(-inf-74.5]\'',5,16,2023
15,0.265282,7,0,59,'\'(245.743-inf)\'',5,16,2023
7,0.85,20,2,5,'\'(245.743-inf)\'',5,16,2023
9,1,30,0,59,'\'(245.743-inf)\'',5,13,2023
27,0.3,2100,5,59,'\'(245.743-inf)\'',5,12,2023
27,0.265282,30,13,43,'\'(74.5-245.743]\'',5,12,2023
7,0.35,21,14,22,'\'(74.5-245.743]\'',5,12,2023
23,0.33,157,0,59,'\'(-inf-74.5]\'',5,12,2023
12,0.265282,87,4,22,'\'(-inf-74.5]\'',5,12,2023
14,0.1,298,5,59,'\'(245.743-inf)\'',5,12,2023
3,1,43,2,59,'\'(245.743-inf)\'',5,12,2023
9,0.11,31,14,8,'\'(-inf-74.5]\'',5,11,2023
7,0.265282,992,6,59,'\'(74.5-245.743]\'',5,11,2023
14,0.08,233,13,59,'\'(245.743-inf)\'',5,11,2023
19,0.265282,1,13,59,'\'(74.5-245.743]\'',5,10,2023
23,0.23,55,13,1,'\'(-inf-74.5]\'',5,10,2023
19,0.06,235,13,59,'\'(-inf-74.5]\'',5,10,2023
22,0.1,153,14,59,'\'(-inf-74.5]\'',5,10,2023
25,0.03,35,13,59,'\'(245.743-inf)\'',5,9,2023
25,0.14,154,14,59,'\'(74.5-245.743]\'',5,9,2023
19,0.06,91,13,25,'\'(74.5-245.743]\'',5,9,2023
18,0.265282,32,0,59,'\'(245.743-inf)\'',5,9,2023
7,0.15,530,13,59,'\'(245.743-inf)\'',5,9,2023
22,0.04,154,14,59,'\'(245.743-inf)\'',5,8,2023
5,0.265282,121,0,22,'\'(74.5-245.743]\'',5,8,2023
12,0.6,157,5,25,'\'(-inf-74.5]\'',5,8,2023
7,0.265282,11,1,59,'\'(-inf-74.5]\'',5,8,2023
3,1,27,0,1,'\'(245.743-inf)\'',5,8,2023
12,0.25,503,13,59,'\'(245.743-inf)\'',5,5,2023
23,0.15,1100,7,22,'\'(245.743-inf)\'',5,5,2023
5,0.265282,118,3,22,'\'(-inf-74.5]\'',5,5,2023
7,0.33,45,3,59,'\'(245.743-inf)\'',5,5,2023
23,0.2,122,13,7,'\'(245.743-inf)\'',5,4,2023
28,0.15,1700,13,59,'\'(245.743-inf)\'',5,4,2023
17,1,157,0,59,'\'(74.5-245.743]\'',5,4,2023
3,0.33,205,3,59,'\'(-inf-74.5]\'',5,4,2023
7,0.1,100,0,25,'\'(-inf-74.5]\'',5,4,2023
23,0.28,34,2,25,'\'(-inf-74.5]\'',5,4,2023
